tecnica,parametro,amostras,mape,mse,rmse,lag
MLP,Coliformes Termotolerantes,151,45.98,2.11,1.45,1
LSTM,Coliformes Termotolerantes,151,41.33,1.79,1.34,1
MLP,Coliformes Termotolerantes,151,46.86,8.22,2.87,2
LSTM,Coliformes Termotolerantes,151,48.38,5.09,2.26,2
MLP,Coliformes Termotolerantes,151,51.64,5.42,2.33,3
LSTM,Coliformes Termotolerantes,151,52.92,5.0,2.24,3
MLP,Coliformes Termotolerantes,151,45.53,4.58,2.14,4
LSTM,Coliformes Termotolerantes,151,55.79,6.23,2.5,4
MLP,Coliformes Termotolerantes,151,53.88,10.03,3.17,5
LSTM,Coliformes Termotolerantes,151,84.73,12.28,3.5,5
MLP,Coliformes Termotolerantes,151,53.36,9.4,3.07,6
LSTM,Coliformes Termotolerantes,151,89.05,12.68,3.56,6
MLP,Coliformes Termotolerantes,151,53.93,6.91,2.63,7
LSTM,Coliformes Termotolerantes,151,51.61,4.91,2.21,7
MLP,Coliformes Termotolerantes,151,45.22,4.58,2.14,8
LSTM,Coliformes Termotolerantes,151,33.09,2.09,1.45,8
MLP,Coliformes Termotolerantes,151,66.32,8.8,2.97,9
LSTM,Coliformes Termotolerantes,151,33.62,2.0,1.42,9
MLP,Coliformes Termotolerantes,151,58.66,9.8,3.13,10
LSTM,Coliformes Termotolerantes,151,54.76,5.38,2.32,10
MLP,Oxigênio Dissolvido,204,27.49,0.16,0.4,1
LSTM,Oxigênio Dissolvido,204,27.19,0.16,0.4,1
MLP,Oxigênio Dissolvido,204,28.75,0.19,0.43,2
LSTM,Oxigênio Dissolvido,204,27.38,0.17,0.42,2
MLP,Oxigênio Dissolvido,204,28.11,0.18,0.42,3
LSTM,Oxigênio Dissolvido,204,26.94,0.17,0.42,3
MLP,Oxigênio Dissolvido,204,27.09,0.16,0.4,4
LSTM,Oxigênio Dissolvido,204,26.87,0.15,0.39,4
MLP,Oxigênio Dissolvido,204,28.17,0.16,0.39,5
LSTM,Oxigênio Dissolvido,204,27.23,0.17,0.42,5
MLP,Oxigênio Dissolvido,204,26.74,0.15,0.38,6
LSTM,Oxigênio Dissolvido,204,27.08,0.15,0.39,6
MLP,Oxigênio Dissolvido,204,26.7,0.17,0.41,7
LSTM,Oxigênio Dissolvido,204,27.97,0.19,0.44,7
MLP,Oxigênio Dissolvido,204,26.9,0.15,0.38,8
LSTM,Oxigênio Dissolvido,204,27.81,0.19,0.43,8
MLP,Oxigênio Dissolvido,204,26.73,0.17,0.42,9
LSTM,Oxigênio Dissolvido,204,28.04,0.15,0.38,9
MLP,Oxigênio Dissolvido,204,27.65,0.18,0.42,10
LSTM,Oxigênio Dissolvido,204,27.07,0.16,0.4,10
MLP,Turbidez,189,93.15,1.11,1.06,1
LSTM,Turbidez,189,82.27,0.86,0.93,1
MLP,Turbidez,189,85.72,0.95,0.97,2
LSTM,Turbidez,189,85.91,0.98,0.99,2
MLP,Turbidez,189,73.76,0.76,0.87,3
LSTM,Turbidez,189,86.96,1.01,1.0,3
MLP,Turbidez,189,68.74,0.66,0.82,4
LSTM,Turbidez,189,81.26,0.86,0.93,4
MLP,Turbidez,189,65.96,0.6,0.77,5
LSTM,Turbidez,189,76.76,0.79,0.89,5
MLP,Turbidez,189,57.33,0.5,0.71,6
LSTM,Turbidez,189,82.12,0.88,0.94,6
MLP,Turbidez,189,58.53,0.54,0.73,7
LSTM,Turbidez,189,68.5,0.64,0.8,7
MLP,Turbidez,189,59.08,0.58,0.76,8
LSTM,Turbidez,189,69.61,0.65,0.81,8
MLP,Turbidez,189,61.1,0.58,0.76,9
LSTM,Turbidez,189,77.77,0.8,0.89,9
MLP,Turbidez,189,55.42,0.53,0.73,10
LSTM,Turbidez,189,72.87,0.69,0.83,10
MLP,Fósforo Total,192,15.15,0.5,0.7,1
LSTM,Fósforo Total,192,15.2,0.53,0.73,1
MLP,Fósforo Total,192,15.88,0.56,0.75,2
LSTM,Fósforo Total,192,15.62,0.51,0.71,2
MLP,Fósforo Total,192,16.61,0.71,0.84,3
LSTM,Fósforo Total,192,15.45,0.51,0.71,3
MLP,Fósforo Total,192,15.96,0.57,0.75,4
LSTM,Fósforo Total,192,15.24,0.54,0.73,4
MLP,Fósforo Total,192,15.48,0.48,0.7,5
LSTM,Fósforo Total,192,15.72,0.46,0.68,5
MLP,Fósforo Total,192,16.87,0.47,0.68,6
LSTM,Fósforo Total,192,17.03,0.71,0.84,6
MLP,Fósforo Total,192,16.25,0.49,0.7,7
LSTM,Fósforo Total,192,16.33,0.48,0.69,7
MLP,Fósforo Total,192,16.27,0.53,0.73,8
LSTM,Fósforo Total,192,15.86,0.56,0.75,8
MLP,Fósforo Total,192,16.35,0.5,0.71,9
LSTM,Fósforo Total,192,16.21,0.47,0.68,9
MLP,Fósforo Total,192,16.51,0.49,0.7,10
LSTM,Fósforo Total,192,15.25,0.51,0.71,10
MLP,Sólido Total,205,2.19,0.01,0.1,1
LSTM,Sólido Total,205,2.19,0.01,0.1,1
MLP,Sólido Total,205,2.44,0.01,0.12,2
LSTM,Sólido Total,205,2.37,0.01,0.11,2
MLP,Sólido Total,205,1.87,0.01,0.09,3
